[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   hadTopCandP4 pt = 712.10, y =   1.14, phi =   1.58, m = 183.28
   nuCandP4 pt =  91.07, y =  -0.04, phi =   1.62, m =  -3.80
   theLepton pt =  69.75, y =   1.23, phi =   2.75, m =   0.14
   bJetCandP4 pt = 533.71, y =   1.01, phi =   2.83, m = 112.39
   hadTopCandP4 pt = 654.60, y =   1.06, phi =   2.84, m = 187.58
   nuCandP4 pt =  51.47, y =  -0.02, phi =   2.79, m =  -1.27
   theLepton pt =  61.72, y =  -0.11, phi =  -1.19, m =   0.14
   bJetCandP4 pt = 190.25, y =  -0.85, phi =  -1.51, m =  18.06
   hadTopCandP4 pt = 536.56, y =   0.26, phi =   1.95, m = 264.70
   nuCandP4 pt =  72.87, y =   1.28, phi =  -1.99, m = -62.34
   theLepton pt = 276.77, y =   0.14, phi =  -1.72, m =   0.14
   bJetCandP4 pt = 420.40, y =   0.00, phi =  -1.42, m =  62.30
   hadTopCandP4 pt = 822.45, y =   0.08, phi =  -1.61, m = 237.83
   nuCandP4 pt =  54.64, y =   0.12, phi =  -0.88, m =  -6.59
   theLepton pt =  96.89, y =   0.57, phi =  -3.03, m =   0.14
   bJetCandP4 pt = 713.15, y =   0.60, phi =  -3.13, m = 120.02
   hadTopCandP4 pt = 890.22, y =   0.58, phi =  -3.09, m = 209.72
   nuCandP4 pt =  51.22, y =  -0.39, phi =   2.63, m = -18.87
   theLepton pt =  56.92, y =  -0.95, phi =  -0.00, m =   0.14
   bJetCandP4 pt = 635.95, y =  -0.90, phi =  -0.05, m = 103.88
   hadTopCandP4 pt = 791.79, y =  -0.95, phi =  -0.07, m = 202.92
   nuCandP4 pt =  23.09, y =    nan, phi =   0.72, m = -23.19
   theLepton pt =  83.49, y =  -0.52, phi =   3.04, m =   0.14
   bJetCandP4 pt = 563.67, y =  -0.41, phi =   3.07, m = 129.74
   hadTopCandP4 pt = 762.98, y =  -0.46, phi =   3.07, m = 226.47
